Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1966/10/19,58,76,43,0,,
1966/10/20,59,78,45,0,,
1966/10/21,58,76,45,0,,
1966/10/22,61,72,50,0,,
1966/10/23,64,73,55,0,,
1966/10/24,63,67,59,0.27,,
1966/10/25,63,70,61,0.11,,
1966/10/26,65,73,60,0,,
1966/10/27,55,70,47,0,,
1966/10/28,44,57,33,0,,
1966/10/29,49,65,32,0,,
1966/10/30,54,70,42,0,,
1966/10/31,55,73,40,0,,
1966/11/1,55,72,42,0,,
1966/11/2,53,74,40,0,,
1966/11/3,57,70,42,0,,
1966/11/4,60,74,53,0,,
1966/11/5,60,76,45,0,,
1966/11/6,55,65,46,0,,
1966/11/7,53,69,38,0,,
1966/11/8,58,77,44,0,,
1966/11/9,57,76,48,0.14,,
1966/11/10,56,69,47,0,,
1966/11/11,59,64,51,0.35,,
1966/11/12,61,66,57,1.31,,
1966/11/13,58,65,52,0.48,,
1966/11/14,49,56,43,0,,
1966/11/15,46,55,39,0,,
1966/11/16,50,53,46,0.03,,
1966/11/17,50,53,46,0,,
1966/11/18,48,63,35,0,,
1966/11/19,49,60,41,0,,
1966/11/20,44,50,38,0,,
1966/11/21,37,49,26,0,,
1966/11/22,41,55,28,0,,
1966/11/23,47,65,31,0,,
1966/11/24,56,65,47,0,,
1966/11/25,44,58,36,0.17,,
1966/11/26,41,51,34,0,,
1966/11/27,47,62,35,0,,
1966/11/28,50,54,48,0.02,,
1966/11/29,46,55,36,0,,
1966/11/30,34,51,27,0,,
1966/12/1,25,33,20,0,,
1966/12/2,32,44,21,0,,
1966/12/3,37,54,26,0,,
1966/12/4,38,58,24,0,,
1966/12/5,42,51,32,0,,
1966/12/6,40,48,29,0,,
1966/12/7,44,56,39,0,,
1966/12/8,45,55,37,0,,
1966/12/9,42,52,36,0,,
1966/12/10,41,58,30,0,,
1966/12/11,46,54,36,0,,
1966/12/12,43,52,35,0,,
1966/12/13,40,45,36,0,,
1966/12/14,36,42,32,0.49,,
1966/12/15,43,45,40,0.02,,
1966/12/16,43,45,40,0,,
1966/12/17,47,49,44,0.15,,
1966/12/18,48,51,45,0.08,,
1966/12/19,49,51,47,0.06,,
1966/12/20,43,51,38,0.07,,
1966/12/21,38,41,36,0.01,,
1966/12/22,33,38,32,0.15,,
1966/12/23,37,41,33,0,,
1966/12/24,36,41,33,0.21,,
1966/12/25,28,33,25,0.28,,
1966/12/26,20,26,15,0,,
1966/12/27,19,24,12,0,,
1966/12/28,22,31,11,0,,
1966/12/29,34,38,29,0,,
1966/12/30,36,39,34,0.3,,
1966/12/31,32,34,29,0.09,,
1967/1/1,31,35,29,0.02,,
1967/1/2,30,38,22,0,,
1967/1/3,28,33,22,0,,
1967/1/4,28,37,21,0,,
1967/1/5,28,36,19,0,,
1967/1/6,30,36,27,0.11,,
1967/1/7,31,40,22,0,,
1967/1/8,28,34,23,0,,
1967/1/9,28,33,23,0,,
1967/1/10,29,32,26,0,,
1967/1/11,33,41,29,0,,
1967/1/12,34,47,22,0,,
1967/1/13,33,47,24,0,,
1967/1/14,39,47,33,0,,
1967/1/15,25,39,18,0.03,,
1967/1/16,25,37,14,0,,
1967/1/17,29,42,20,0,,
1967/1/18,33,50,22,0,,
1967/1/19,38,56,24,0,,
1967/1/20,43,57,34,0,,
1967/1/21,45,63,36,0,,
1967/1/22,42,51,35,0,,
1967/1/23,38,49,27,0,,
1967/1/24,43,56,38,0,,
1967/1/25,43,62,29,0,,
1967/1/26,50,62,36,0,,
1967/1/27,49,55,43,0.3,,
1967/1/28,38,44,35,0.02,,
1967/1/29,36,40,33,0,,
1967/1/30,34,41,27,0,,
1967/1/31,34,43,26,0,,
1967/2/1,34,40,29,0,,
1967/2/2,34,45,26,0,,
1967/2/3,35,50,24,0,,
1967/2/4,39,56,26,0,,
1967/2/5,43,58,28,0,,
1967/2/6,48,67,33,0,,
1967/2/7,41,52,38,0,,
1967/2/8,39,41,38,0.06,,
1967/2/9,34,40,32,0.31,,
1967/2/10,30,33,28,0.07,,
1967/2/11,28,34,22,0,,
1967/2/12,29,36,20,0,,
1967/2/13,32,36,29,0.06,,
1967/2/14,33,40,29,0.06,,
1967/2/15,33,44,24,0,,
1967/2/16,38,52,26,0,,
1967/2/17,42,54,33,0,,
1967/2/18,42,56,31,0,,
1967/2/19,46,57,37,0,,
1967/2/20,51,60,45,0.04,,
1967/2/21,57,71,48,0,,
1967/2/22,45,63,41,1.2,,
1967/2/23,38,45,35,0.24,,
1967/2/24,33,39,29,0.13,,
1967/2/25,36,42,31,0,,
1967/2/26,40,49,31,0,,
1967/2/27,41,53,32,0,,
1967/2/28,44,58,32,0,,
1967/3/1,48,62,35,0,,
1967/3/2,54,70,38,0,,
1967/3/3,55,62,48,0.44,,
1967/3/4,40,49,32,0.31,,
1967/3/5,34,41,28,0.08,,
1967/3/6,36,46,28,0,,
1967/3/7,38,49,28,0,,
1967/3/8,39,44,34,0,,
1967/3/9,42,50,34,0,,
1967/3/10,47,60,35,0,,
1967/3/11,51,69,38,0,,
1967/3/12,56,69,41,0,,
1967/3/13,50,60,42,0.04,,
1967/3/14,55,69,47,0,,
1967/3/15,56,65,47,0,,
1967/3/16,46,57,43,0.07,,
1967/3/17,43,45,40,1.27,,
1967/3/18,46,58,34,0,,
1967/3/19,50,58,44,0.11,,
1967/3/20,48,53,45,0.09,,
1967/3/21,50,58,44,0.02,,
1967/3/22,45,51,40,0,,
1967/3/23,45,56,33,0,,
1967/3/24,49,61,34,0,,
1967/3/25,52,57,48,0.09,,
1967/3/26,58,68,54,0.07,,
1967/3/27,51,59,45,0,,
1967/3/28,51,60,44,0,,
1967/3/29,47,52,42,0.89,,
1967/3/30,46,51,43,0,,
1967/3/31,52,66,42,0,,
1967/4/1,55,65,45,0,,
1967/4/2,57,69,46,0,,
1967/4/3,54,60,49,0.19,,
1967/4/4,52,62,43,0,,
1967/4/5,55,65,47,0,,
1967/4/6,56,64,52,0,,
1967/4/7,55,58,53,0.01,,
1967/4/8,59,65,55,0,,
1967/4/9,58,61,55,0.17,,
1967/4/10,53,57,51,0.02,,
1967/4/11,50,58,43,0.1,,
1967/4/12,52,61,42,0,,
1967/4/13,57,64,50,0,,
1967/4/14,50,60,47,0.72,,
1967/4/15,50,54,47,0.37,,
1967/4/16,53,62,48,0,,
1967/4/17,51,57,49,0.12,,
1967/4/18,52,58,48,1.39,,
1967/4/19,56,63,53,0.01,,
1967/4/20,59,71,45,0,,
1967/4/21,64,74,50,0,,
1967/4/22,57,66,54,0.13,,
1967/4/23,61,69,51,0,,
1967/4/24,59,65,55,0,,
1967/4/25,60,69,47,0,,
1967/4/26,63,73,54,0,,
1967/4/27,66,78,53,0,,
1967/4/28,72,81,62,0,,
1967/4/29,77,90,64,0,,
1967/4/30,78,90,70,1.58,,
1967/5/1,69,75,65,0,,
1967/5/2,65,76,58,0,,
1967/5/3,66,74,56,0,,
1967/5/4,62,68,57,0.01,,
1967/5/5,59,65,54,0.92,,
1967/5/6,62,68,58,0.09,,
1967/5/7,64,68,61,0.06,,
1967/5/8,62,65,60,0.09,,
1967/5/9,65,77,54,0,,
1967/5/10,69,81,58,0,,
1967/5/11,66,72,60,0,,
1967/5/12,64,68,61,0.22,,
1967/5/13,62,69,56,0,,
1967/5/14,67,79,52,0,,
1967/5/15,69,80,56,0,,
1967/5/16,73,84,63,0,,
1967/5/17,72,84,61,0,,
1967/5/18,70,76,64,0.14,,
1967/5/19,69,72,67,0.43,,
1967/5/20,69,72,67,1.22,,
1967/5/21,66,70,63,0.39,,
1967/5/22,68,74,64,0,,
1967/5/23,73,84,61,0,,
1967/5/24,78,89,68,0,,
1967/5/25,77,89,71,0,,
1967/5/26,74,90,64,0,,
1967/5/27,78,91,66,0,,
1967/5/28,77,87,67,0,,
1967/5/29,76,87,69,0,,
1967/5/30,75,81,71,0.01,,
1967/5/31,78,87,73,0,,
1967/6/1,78,88,71,0,,
1967/6/2,76,86,68,0,,
1967/6/3,79,91,71,0,,
1967/6/4,81,92,71,0,,
1967/6/5,81,95,70,0,,
1967/6/6,82,94,70,0,,
1967/6/7,81,94,67,0,,
1967/6/8,74,82,71,0,,
1967/6/9,72,84,63,0.4,,
1967/6/10,76,88,66,0,,
1967/6/11,78,90,67,0,,
1967/6/12,82,94,71,0,,
1967/6/13,79,89,73,0,,
1967/6/14,80,93,66,0,,
1967/6/15,78,85,72,0.25,,
1967/6/16,79,89,71,0,,
1967/6/17,78,87,72,0.13,,
1967/6/18,80,90,70,0,,
1967/6/19,82,90,76,0,,
1967/6/20,81,89,74,0,,
1967/6/21,80,89,74,0,,
1967/6/22,79,88,72,0,,
1967/6/23,79,92,67,0,,
1967/6/24,76,81,73,0.78,,
1967/6/25,78,86,72,0.02,,
1967/6/26,81,87,77,0.18,,
1967/6/27,83,92,76,0.63,,
1967/6/28,75,82,72,0.89,,
1967/6/29,76,81,72,0,,
1967/6/30,82,91,75,0,,
1967/7/1,85,93,80,0,,
1967/7/2,83,91,76,0,,
1967/7/3,84,94,79,0,,
1967/7/4,75,82,71,2.18,,
1967/7/5,68,73,66,0.35,,
1967/7/6,72,80,62,0,,
1967/7/7,75,82,69,0,,
1967/7/8,76,83,70,0,,
1967/7/9,75,79,72,0,,
1967/7/10,76,81,73,0.01,,
1967/7/11,82,92,76,0,,
1967/7/12,87,94,80,0,,
1967/7/13,87,96,79,0,,
1967/7/14,87,93,81,0.01,,
1967/7/15,87,92,84,0,,
1967/7/16,88,96,79,0,,
1967/7/17,89,97,78,0,,
1967/7/18,88,98,79,0,,
1967/7/19,86,93,78,0,,
1967/7/20,85,97,77,0,,
1967/7/21,83,95,74,0.11,,
1967/7/22,84,93,75,0,,
1967/7/23,81,95,74,1.42,,
1967/7/24,85,93,78,0,,
1967/7/25,86,93,80,0,,
1967/7/26,86,93,78,0,,
1967/7/27,85,93,78,0,,
1967/7/28,84,92,77,0,,
1967/7/29,85,95,79,0.04,,
1967/7/30,87,95,79,0,,
1967/7/31,86,94,80,0,,
1967/8/1,87,96,80,0,,
1967/8/2,85,96,79,0.03,,
1967/8/3,86,95,77,0,,
1967/8/4,87,96,79,0,,
1967/8/5,86,96,80,0,,
1967/8/6,87,96,79,0.19,,
1967/8/7,87,95,80,0,,
1967/8/8,85,94,77,0,,
1967/8/9,86,95,77,0,,
1967/8/10,86,97,79,0,,
1967/8/11,88,102,78,0,,
1967/8/12,90,101,81,0,,
1967/8/13,90,99,81,0,,
1967/8/14,84,94,75,1.14,,
1967/8/15,85,94,78,0.02,,
1967/8/16,84,95,80,0.01,,
1967/8/17,84,93,76,0.01,,
1967/8/18,86,96,76,0,,
1967/8/19,85,93,79,0,,
1967/8/20,86,95,79,0,,
1967/8/21,87,99,77,0,,
1967/8/22,88,99,77,0,,
1967/8/23,89,99,80,0,,
1967/8/24,88,101,80,0,,
1967/8/25,87,99,77,0,,
1967/8/26,87,102,75,0,,
1967/8/27,89,102,78,0,,
1967/8/28,90,102,78,0,,
1967/8/29,87,98,78,0,,
1967/8/30,86,96,78,0,,
1967/8/31,87,97,80,0,,
1967/9/1,87,98,80,0,,
1967/9/2,87,98,80,0,,
1967/9/3,81,91,74,2.78,,
1967/9/4,80,88,75,0.73,,
1967/9/5,85,92,79,0,,
1967/9/6,84,93,78,0,,
1967/9/7,87,97,79,0,,
1967/9/8,85,96,79,0.36,,
1967/9/9,85,96,76,0,,
1967/9/10,70,87,64,2.54,,
1967/9/11,65,74,60,0.17,,
1967/9/12,67,77,56,0,,
1967/9/13,68,74,60,0,,
1967/9/14,65,70,63,0.06,,
1967/9/15,65,76,56,0,,
1967/9/16,67,77,57,0,,
1967/9/17,67,80,56,0,,
1967/9/18,69,79,56,0,,
1967/9/19,71,78,65,0,,
1967/9/20,71,81,63,0,,
1967/9/21,70,82,58,0,,
1967/9/22,69,81,58,0,,
1967/9/23,67,78,55,0,,
1967/9/24,66,78,55,0,,
1967/9/25,67,79,55,0,,
1967/9/26,70,80,62,0,,
1967/9/27,73,83,63,0,,
1967/9/28,72,82,67,0,,
1967/9/29,74,81,69,0,,
1967/9/30,65,74,62,0.13,,
1967/10/1,58,65,56,0.19,,
1967/10/2,60,70,50,0,,
1967/10/3,60,72,48,0,,
1967/10/4,60,74,47,0,,
1967/10/5,60,76,49,0,,
1967/10/6,61,78,49,0,,
1967/10/7,60,75,47,0,,
1967/10/8,60,73,49,0,,
1967/10/9,65,75,49,0,,
1967/10/10,68,78,59,0,,
1967/10/11,69,78,64,0.03,,
1967/10/12,65,68,63,0.13,,
1967/10/13,64,68,62,0.05,,
1967/10/14,62,69,57,0,,
1967/10/15,60,69,47,0,,
1967/10/16,61,68,57,0,,
1967/10/17,60,71,47,0,,
1967/10/18,59,72,45,0,,
1967/10/19,58,73,43,0,,
1967/10/20,61,72,49,0,,
1967/10/21,61,79,47,0,,
1967/10/22,60,68,53,0,,
1967/10/23,63,72,54,0,,
1967/10/24,63,74,52,0,,
1967/10/25,64,76,52,0,,
1967/10/26,61,72,48,0,,
1967/10/27,59,72,47,0,,
1967/10/28,57,74,44,0,,
1967/10/29,59,78,45,0,,
1967/10/30,64,80,48,0,,
1967/10/31,65,71,61,0.22,,
1967/11/1,60,65,57,0.26,,
1967/11/2,61,66,58,0,,
1967/11/3,57,62,54,0,,
1967/11/4,51,56,49,0.7,,
1967/11/5,51,63,42,0.01,,
1967/11/6,52,67,38,0,,
1967/11/7,58,77,41,0.07,,
1967/11/8,62,66,56,0.76,,
1967/11/9,50,57,47,0.99,,
1967/11/10,48,53,44,0.58,,
1967/11/11,48,51,45,0.04,,
1967/11/12,40,47,34,0,,
1967/11/13,37,46,27,0,,
1967/11/14,45,57,34,0,,
1967/11/15,46,60,33,0,,
1967/11/16,52,60,43,0,,
1967/11/17,54,63,48,0,,
1967/11/18,57,63,50,0.04,,
1967/11/19,57,60,55,0.73,,
1967/11/20,47,56,43,0.04,,
1967/11/21,44,53,36,0,,
1967/11/22,48,56,40,0,,
1967/11/23,52,57,47,0.02,,
1967/11/24,51,54,49,0.99,,
1967/11/25,50,51,47,0.93,,
1967/11/26,48,51,46,0.09,,
1967/11/27,47,51,44,0.33,,
1967/11/28,41,45,40,0.33,,
1967/11/29,41,43,38,0.05,,
1967/11/30,33,39,29,0,,
1967/12/1,31,39,24,0,,
1967/12/2,36,42,31,0,,
1967/12/3,35,47,26,0,,
1967/12/4,39,49,29,0,,
1967/12/5,38,44,34,0.02,,
1967/12/6,35,43,28,0,,
1967/12/7,33,39,28,0,,
1967/12/8,29,39,19,0,,
1967/12/9,32,43,22,0,,
1967/12/10,31,36,26,0,,
1967/12/11,27,39,19,0,,
1967/12/12,29,41,20,0,,
1967/12/13,33,46,22,0,,
1967/12/14,34,40,30,0,,
1967/12/15,29,42,18,0,,
1967/12/16,33,47,22,0,,
1967/12/17,35,49,27,0,,
1967/12/18,35,53,24,0,,
1967/12/19,40,57,28,0,,
1967/12/20,35,45,28,0,,
1967/12/21,29,41,21,0,,
1967/12/22,31,43,20,0,,
1967/12/23,32,42,23,0,,
1967/12/24,29,40,20,0,,
1967/12/25,35,39,29,0,,
1967/12/26,33,38,31,0,,
1967/12/27,29,38,19,0,,
1967/12/28,23,34,19,0,,
1967/12/29,25,37,15,0,,
1967/12/30,26,41,14,0,,
1967/12/31,32,46,23,0,,
1968/1/1,31,51,19,0,,
1968/1/2,36,54,21,0,,
1968/1/3,35,52,24,0,,
1968/1/4,36,59,23,0,,
1968/1/5,41,60,26,0,,
1968/1/6,43,51,37,0,,
1968/1/7,40,45,34,0,,
1968/1/8,28,37,21,0,,
1968/1/9,31,37,23,0,,
1968/1/10,32,39,29,0,,
1968/1/11,33,50,22,0,,
1968/1/12,35,41,26,0,,
1968/1/13,38,47,31,0,,
1968/1/14,32,38,26,0,,
1968/1/15,26,38,18,0,,
1968/1/16,31,44,19,0,,
1968/1/17,42,59,30,0,,
1968/1/18,40,45,32,0.44,,
1968/1/19,37,41,34,0.45,,
1968/1/20,35,39,32,0,,
1968/1/21,35,39,33,0,,
1968/1/22,32,38,26,0,,
1968/1/23,33,35,31,0.05,,
1968/1/24,34,37,31,0,,
1968/1/25,35,41,30,0,,
1968/1/26,36,42,33,0,,
1968/1/27,34,36,31,0.09,,
1968/1/28,35,37,33,0.04,,
1968/1/29,34,37,32,0.54,,
1968/1/30,32,36,31,0,,
1968/1/31,30,36,24,0,,
1968/2/1,31,36,30,0,,
1968/2/2,31,37,24,0,,
1968/2/3,34,43,24,0,,
1968/2/4,32,39,31,0,,
1968/2/5,30,36,25,0,,
1968/2/6,30,36,25,0,,
1968/2/7,29,36,21,0,,
1968/2/8,30,43,21,0,,
1968/2/9,32,40,25,0,,
1968/2/10,33,45,24,0,,
1968/2/11,31,37,24,0,,
1968/2/12,33,42,22,0,,
1968/2/13,37,45,30,0,,
1968/2/14,36,42,32,0.15,,
1968/2/15,35,47,25,0,,
1968/2/16,39,51,29,0,,
1968/2/17,43,55,33,0,,
1968/2/18,37,46,34,0,,
1968/2/19,31,41,21,0,,
1968/2/20,30,45,17,0,,
1968/2/21,36,53,21,0,,
1968/2/22,37,52,25,0,,
1968/2/23,38,48,30,0,,
1968/2/24,33,46,20,0,,
1968/2/25,39,51,29,0,,
1968/2/26,41,58,25,0,,
1968/2/27,47,64,36,0,,
1968/2/28,45,60,34,0,,
1968/2/29,41,50,31,0,,
1968/3/1,37,43,30,0,,
1968/3/2,39,53,29,0,,
1968/3/3,42,60,28,0,,
1968/3/4,54,74,34,0,,
1968/3/5,52,63,42,0,,
1968/3/6,51,63,41,0,,
1968/3/7,49,56,42,0.03,,
1968/3/8,42,54,32,0.14,,
1968/3/9,44,56,31,0,,
1968/3/10,47,54,42,0.1,,
1968/3/11,48,58,44,0.14,,
1968/3/12,49,61,41,0,,
1968/3/13,50,68,35,0,,
1968/3/14,54,70,39,0,,
1968/3/15,57,74,44,0,,
1968/3/16,50,63,42,0,,
1968/3/17,47,56,40,0,,
1968/3/18,58,72,47,0,,
1968/3/19,58,67,55,0.89,,
1968/3/20,53,58,49,0,,
1968/3/21,51,56,48,0.04,,
1968/3/22,47,48,45,0,,
1968/3/23,48,57,41,0,,
1968/3/24,44,50,40,0,,
1968/3/25,46,55,38,0,,
1968/3/26,48,60,38,0,,
1968/3/27,53,66,38,0,,
1968/3/28,53,59,47,0.02,,
1968/3/29,54,56,52,0.61,,
1968/3/30,55,66,45,0,,
1968/3/31,54,60,49,0,,
1968/4/1,53,62,40,0,,
1968/4/2,55,60,51,0,,
1968/4/3,56,71,42,0,,
1968/4/4,63,80,47,0,,
1968/4/5,62,73,50,0,,
1968/4/6,66,82,52,0,,
1968/4/7,69,80,62,0.06,,
1968/4/8,66,78,56,0.29,,
1968/4/9,53,62,49,0.04,,
1968/4/10,46,50,42,0.26,,
1968/4/11,51,61,40,0.02,,
1968/4/12,57,67,46,0,,
1968/4/13,59,69,50,0,,
1968/4/14,60,73,46,0,,
1968/4/15,58,64,53,0.13,,
1968/4/16,59,61,57,0,,
1968/4/17,52,58,49,1.09,,
1968/4/18,56,67,44,0,,
1968/4/19,59,67,51,0,,
1968/4/20,56,63,52,0,,
1968/4/21,56,68,42,0,,
1968/4/22,60,74,46,0,,
1968/4/23,66,77,55,0,,
1968/4/24,71,88,53,0,,
1968/4/25,56,76,51,0.02,,
1968/4/26,54,63,48,0.06,,
1968/4/27,58,71,45,0,,
1968/4/28,62,75,46,0,,
1968/4/29,66,81,47,0,,
1968/4/30,70,87,55,0,,
1968/5/1,70,80,59,0,,
1968/5/2,68,80,56,0,,
1968/5/3,71,85,54,0,,
1968/5/4,66,75,61,0.33,,
1968/5/5,64,69,60,0.06,,
1968/5/6,56,63,48,0.26,,
1968/5/7,54,60,48,0.07,,
1968/5/8,57,67,49,0.3,,
1968/5/9,59,66,53,0.07,,
1968/5/10,59,62,55,0,,
1968/5/11,63,71,58,0.01,,
1968/5/12,65,73,59,0,,
1968/5/13,66,80,53,0,,
1968/5/14,68,83,54,0,,
1968/5/15,72,86,58,0,,
1968/5/16,71,76,69,0,,
1968/5/17,70,80,67,0.26,,
1968/5/18,69,82,59,0,,
1968/5/19,71,81,62,0,,
1968/5/20,73,85,62,0,,
1968/5/21,73,84,64,0,,
1968/5/22,71,80,63,0,,
1968/5/23,70,73,67,0.14,,
1968/5/24,67,71,64,0.22,,
1968/5/25,67,75,62,0,,
1968/5/26,71,85,58,0,,
1968/5/27,73,85,59,0,,
1968/5/28,71,83,66,0,,
1968/5/29,73,90,58,0,,
1968/5/30,75,87,63,0,,
1968/5/31,74,89,61,0,,
1968/6/1,77,91,63,0,,
1968/6/2,76,88,65,0,,
1968/6/3,78,90,66,0,,
1968/6/4,78,91,64,0,,
1968/6/5,79,92,64,0,,
1968/6/6,78,94,62,0,,
1968/6/7,78,93,64,0,,
1968/6/8,81,94,67,0,,
1968/6/9,73,80,69,0.3,,
1968/6/10,71,86,55,0,,
1968/6/11,77,91,62,0,,
1968/6/12,80,93,66,0,,
1968/6/13,80,92,68,0,,
1968/6/14,81,93,67,0,,
1968/6/15,76,85,68,0.54,,
1968/6/16,75,86,67,0,,
1968/6/17,80,91,69,0,,
1968/6/18,81,92,69,0,,
1968/6/19,78,89,70,0,,
1968/6/20,76,84,69,0,,
1968/6/21,75,84,68,0,,
1968/6/22,75,83,67,0,,
1968/6/23,72,78,66,0,,
1968/6/24,70,74,65,0.09,,
1968/6/25,72,78,68,0.38,,
1968/6/26,73,81,69,0.05,,
1968/6/27,79,90,70,0.04,,
1968/6/28,81,92,72,0.03,,
1968/6/29,76,80,73,1.22,,
1968/6/30,78,80,76,0.4,,
1968/7/1,79,84,76,0.18,,
1968/7/2,75,81,72,0.87,,
1968/7/3,74,79,70,0,,
1968/7/4,71,77,67,0.7,,
1968/7/5,73,80,65,0.59,,
1968/7/6,74,80,66,0,,
1968/7/7,78,86,70,0,,
1968/7/8,80,89,74,0.02,,
1968/7/9,77,82,74,0.06,,
1968/7/10,78,88,70,1.93,,
1968/7/11,79,86,71,0,,
1968/7/12,80,88,73,0,,
1968/7/13,81,88,76,0.78,,
1968/7/14,80,90,76,0.33,,
1968/7/15,83,92,76,0.02,,
1968/7/16,79,90,75,0.12,,
1968/7/17,80,90,75,0.12,,
1968/7/18,81,85,76,0.06,,
1968/7/19,81,89,75,0.12,,
1968/7/20,83,95,75,0.1,,
1968/7/21,85,94,76,0,,
1968/7/22,86,92,79,0,,
1968/7/23,85,92,79,0,,
1968/7/24,81,89,76,0,,
1968/7/25,82,88,75,0,,
1968/7/26,83,90,76,0,,
1968/7/27,81,89,74,0,,
1968/7/28,82,92,71,0,,
1968/7/29,86,96,77,0,,
1968/7/30,86,95,79,0,,
1968/7/31,84,96,73,0,,
1968/8/1,85,96,75,0,,
1968/8/2,84,92,72,0,,
1968/8/3,83,90,74,0,,
1968/8/4,83,91,75,0,,
1968/8/5,79,89,77,0,,
1968/8/6,81,91,73,0.02,,
1968/8/7,77,90,74,0.15,,
1968/8/8,78,85,72,0,,
1968/8/9,80,91,70,0,,
1968/8/10,79,86,74,0.14,,
1968/8/11,82,92,76,0.62,,
1968/8/12,82,91,78,0,,
1968/8/13,77,84,71,0,,
1968/8/14,79,87,73,0,,
1968/8/15,80,90,73,0,,
1968/8/16,83,94,71,0,,
1968/8/17,84,95,73,0,,
1968/8/18,86,95,79,0,,
1968/8/19,86,98,78,0,,
1968/8/20,85,93,79,0.02,,
1968/8/21,85,95,78,0,,
1968/8/22,87,96,79,0,,
1968/8/23,84,92,80,0.09,,
1968/8/24,84,95,76,4.39,,
1968/8/25,82,88,78,0.03,,
1968/8/26,76,82,72,0.11,,
1968/8/27,80,86,75,0,,
1968/8/28,80,87,72,0,,
1968/8/29,79,89,72,0,,
1968/8/30,77,89,63,0,,
1968/8/31,75,84,69,0,,
1968/9/1,73,82,63,0,,
1968/9/2,75,83,68,0,,
1968/9/3,74,83,63,0,,
1968/9/4,78,85,72,0,,
1968/9/5,78,87,71,0,,
1968/9/6,81,91,74,0,,
1968/9/7,84,92,77,0,,
1968/9/8,82,90,76,0,,
1968/9/9,79,85,75,0.46,,
1968/9/10,75,80,71,0.01,,
1968/9/11,79,88,73,0,,
1968/9/12,78,85,72,0,,
1968/9/13,75,82,71,0,,
1968/9/14,70,76,64,1.38,,
1968/9/15,72,82,66,0,,
1968/9/16,73,83,64,0,,
1968/9/17,76,85,69,0,,
1968/9/18,76,85,69,0,,
1968/9/19,77,85,73,0.35,,
1968/9/20,68,75,64,0.14,,
1968/9/21,67,76,60,0,,
1968/9/22,68,78,63,0,,
1968/9/23,68,80,57,0,,
1968/9/24,71,81,58,0,,
1968/9/25,71,82,61,0,,
1968/9/26,72,83,63,0,,
1968/9/27,75,83,66,0,,
1968/9/28,67,75,63,0,,
1968/9/29,62,71,59,0,,
1968/9/30,63,75,55,0,,
1968/10/1,65,76,52,0,,
1968/10/2,68,76,62,0.39,,
1968/10/3,66,73,62,0.5,,
1968/10/4,69,74,66,0,,
1968/10/5,73,82,68,0,,
1968/10/6,76,87,67,0,,
1968/10/7,68,77,63,0.37,,
1968/10/8,68,72,63,0.04,,
1968/10/9,65,69,62,0.02,,
1968/10/10,62,66,59,0.21,,
1968/10/11,59,64,55,0,,
1968/10/12,58,65,54,0,,
1968/10/13,56,59,54,0.17,,
1968/10/14,57,61,54,0.19,,
1968/10/15,56,70,46,0,,
1968/10/16,60,71,54,0,,
1968/10/17,57,66,51,0,,
1968/10/18,51,60,43,0,,
1968/10/19,51,66,39,0,,
1968/10/20,53,67,42,0,,
1968/10/21,56,74,41,0,,
1968/10/22,59,74,45,0,,
1968/10/23,58,69,49,0,,
1968/10/24,52,64,42,0,,
1968/10/25,54,64,45,0,,
1968/10/26,53,71,39,0,,
1968/10/27,58,77,42,0,,
1968/10/28,59,68,52,0,,
1968/10/29,52,67,41,0,,
1968/10/30,53,70,38,0,,
1968/10/31,60,73,47,0,,
1968/11/1,62,73,55,0,,
1968/11/2,61,72,53,0,,
1968/11/3,61,66,56,0.04,,
1968/11/4,57,63,54,0.12,,
1968/11/5,56,66,49,0,,
1968/11/6,57,71,45,0,,
1968/11/7,55,75,41,0,,
1968/11/8,54,71,45,0,,
1968/11/9,37,50,32,0,,
1968/11/10,33,43,24,0,,
1968/11/11,40,59,28,0,,
1968/11/12,47,63,32,0,,
1968/11/13,51,67,37,0,,
1968/11/14,52,66,39,0,,
1968/11/15,49,67,37,0,,
1968/11/16,51,69,39,0,,
1968/11/17,51,70,40,0,,
1968/11/18,53,75,40,0,,
1968/11/19,58,73,46,0.3,,
1968/11/20,57,64,54,0.09,,
1968/11/21,55,63,48,0,,
1968/11/22,59,70,49,0,,
1968/11/23,58,74,49,0,,
1968/11/24,61,75,47,0,,
1968/11/25,65,71,62,0,,
1968/11/26,64,80,54,0,,
1968/11/27,51,59,47,0.02,,
1968/11/28,48,55,42,0,,
1968/11/29,50,54,47,0.04,,
1968/11/30,51,63,45,0.04,,
1968/12/1,52,69,38,0,,
1968/12/2,60,74,55,0.06,,
1968/12/3,55,62,51,0.1,,
1968/12/4,57,61,53,0.16,,
1968/12/5,57,67,48,0,,
1968/12/6,60,70,55,0,,
1968/12/7,60,62,58,0.12,,
1968/12/8,59,63,54,0.02,,
1968/12/9,52,55,51,0,,
1968/12/10,51,53,49,0.03,,
1968/12/11,51,55,48,0.32,,
1968/12/12,46,52,42,0.02,,
1968/12/13,43,48,40,0.54,,
1968/12/14,35,45,30,0.33,,
1968/12/15,28,32,24,0,,
1968/12/16,29,38,20,0,,
1968/12/17,35,37,30,0.01,,
1968/12/18,40,51,36,0,,
